2026-09-15 12:02:34.073 IST [7644] FATAL:  pre-existing shared memory block is still in use
2026-09-15 12:02:34.073 IST [7644] HINT:  Check if there are any old server processes still running, and terminate them.
2026-09-15 12:02:34.074 IST [7644] LOG:  database system is shut down
2026-09-15 12:04:34.374 IST [20884] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35227, 64-bit
2026-09-15 12:04:34.375 IST [20884] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-09-15 12:04:35.392 IST [20884] LOG:  database system is ready to accept connections
2026-09-16 11:31:38.440 IST [9300] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35227, 64-bit
2026-09-16 11:31:38.441 IST [9300] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-09-16 11:31:39.399 IST [9300] LOG:  database system is ready to accept connections
2026-09-17 11:40:43.830 IST [2804] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35227, 64-bit
2026-09-17 11:40:43.831 IST [2804] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-09-17 11:40:44.794 IST [2804] LOG:  database system is ready to accept connections
2026-09-17 11:59:56.618 IST [24820] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35227, 64-bit
2026-09-17 11:59:56.619 IST [24820] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-09-17 11:59:57.120 IST [24820] LOG:  database system is ready to accept connections
2026-09-17 12:24:00.718 IST [26152] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35227, 64-bit
2026-09-17 12:24:00.719 IST [26152] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-09-17 12:24:15.785 IST [26152] LOG:  database system is ready to accept connections
2026-09-18 11:18:18.439 IST [20464] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35227, 64-bit
2026-09-18 11:18:18.439 IST [20464] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-09-18 11:18:18.859 IST [9136] LOG:  database system was interrupted; last known up at 2026-09-17 15:23:25 IST
2026-09-18 11:18:20.976 IST [9136] LOG:  database system was not properly shut down; automatic recovery in progress
2026-09-18 11:18:20.998 IST [9136] LOG:  redo starts at 0/DF9B728
2026-09-18 11:18:21.002 IST [9136] LOG:  invalid record length at 0/DFB86E8: expected at least 24, got 0
2026-09-18 11:18:21.002 IST [9136] LOG:  redo done at 0/DFB86C0 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-09-18 11:18:21.028 IST [21888] LOG:  checkpoint starting: end-of-recovery immediate wait
2026-09-18 11:18:21.581 IST [21888] LOG:  checkpoint complete: wrote 23 buffers (0.1%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.006 s, sync=0.433 s, total=0.575 s; sync files=17, longest=0.040 s, average=0.026 s; distance=115 kB, estimate=115 kB; lsn=0/DFB86E8, redo lsn=0/DFB86E8
2026-09-18 11:18:21.608 IST [20464] LOG:  database system is ready to accept connections
2026-09-18 11:23:21.597 IST [21888] LOG:  checkpoint starting: time
2026-09-18 11:23:28.522 IST [21888] LOG:  checkpoint complete: wrote 59 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=6.400 s, sync=0.422 s, total=6.925 s; sync files=30, longest=0.034 s, average=0.015 s; distance=390 kB, estimate=390 kB; lsn=0/E01A080, redo lsn=0/E019FD8
2026-09-18 11:28:21.535 IST [21888] LOG:  checkpoint starting: time
2026-09-18 11:28:23.850 IST [21888] LOG:  checkpoint complete: wrote 18 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.946 s, sync=0.294 s, total=2.315 s; sync files=14, longest=0.027 s, average=0.021 s; distance=99 kB, estimate=361 kB; lsn=0/E032F30, redo lsn=0/E032ED8
2026-09-18 11:33:21.859 IST [21888] LOG:  checkpoint starting: time
2026-09-18 11:33:24.832 IST [21888] LOG:  checkpoint complete: wrote 24 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.603 s, sync=0.327 s, total=2.974 s; sync files=14, longest=0.033 s, average=0.024 s; distance=139 kB, estimate=338 kB; lsn=0/E055B80, redo lsn=0/E055B28
2026-09-18 11:38:21.848 IST [21888] LOG:  checkpoint starting: time
2026-09-18 11:38:22.032 IST [21888] LOG:  checkpoint complete: wrote 1 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.101 s, sync=0.028 s, total=0.184 s; sync files=2, longest=0.016 s, average=0.014 s; distance=7 kB, estimate=305 kB; lsn=0/E057B70, redo lsn=0/E057B18
2026-09-18 11:43:21.045 IST [21888] LOG:  checkpoint starting: time
2026-09-18 11:43:29.996 IST [21888] LOG:  checkpoint complete: wrote 78 buffers (0.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=8.455 s, sync=0.427 s, total=8.953 s; sync files=32, longest=0.062 s, average=0.014 s; distance=619 kB, estimate=619 kB; lsn=0/E164DA0, redo lsn=0/E0F2A80
2026-09-18 11:48:22.007 IST [21888] LOG:  checkpoint starting: time
2026-09-18 11:48:29.597 IST [21888] LOG:  checkpoint complete: wrote 66 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=7.149 s, sync=0.400 s, total=7.590 s; sync files=25, longest=0.069 s, average=0.016 s; distance=576 kB, estimate=615 kB; lsn=0/E1DAD98, redo lsn=0/E182AB8
2026-09-18 11:53:22.610 IST [21888] LOG:  checkpoint starting: time
2026-09-18 11:53:33.878 IST [21888] LOG:  checkpoint complete: wrote 100 buffers (0.6%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=10.852 s, sync=0.362 s, total=11.269 s; sync files=32, longest=0.023 s, average=0.012 s; distance=780 kB, estimate=780 kB; lsn=0/E245DC8, redo lsn=0/E245D70
2026-09-18 11:58:22.889 IST [21888] LOG:  checkpoint starting: time
2026-09-18 11:58:32.453 IST [21888] LOG:  checkpoint complete: wrote 83 buffers (0.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=9.004 s, sync=0.490 s, total=9.564 s; sync files=36, longest=0.054 s, average=0.014 s; distance=607 kB, estimate=763 kB; lsn=0/E2DDBB8, redo lsn=0/E2DDB28
2026-09-18 11:59:23.328 IST [30620] ERROR:  could not determine data type of parameter $1 at character 36
2026-09-18 11:59:23.328 IST [30620] STATEMENT:  SELECT email FROM crm_leads WHERE ($1 IS NOT NULL AND id::text=$1) OR LOWER(TRIM(name))=LOWER(TRIM($2)) ORDER BY CASE WHEN id::text=$1 THEN 0 ELSE 1 END LIMIT 1
2026-09-18 11:59:32.159 IST [17796] ERROR:  could not determine data type of parameter $1 at character 36
2026-09-18 11:59:32.159 IST [17796] STATEMENT:  SELECT email FROM crm_leads WHERE ($1 IS NOT NULL AND id::text=$1) OR LOWER(TRIM(name))=LOWER(TRIM($2)) ORDER BY CASE WHEN id::text=$1 THEN 0 ELSE 1 END LIMIT 1
2026-09-18 12:03:22.469 IST [21888] LOG:  checkpoint starting: time
2026-09-18 12:03:33.097 IST [21888] LOG:  checkpoint complete: wrote 93 buffers (0.6%), wrote 2 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=10.087 s, sync=0.473 s, total=10.629 s; sync files=33, longest=0.054 s, average=0.015 s; distance=715 kB, estimate=758 kB; lsn=0/E390960, redo lsn=0/E3908D0
2026-09-18 12:08:22.114 IST [21888] LOG:  checkpoint starting: time
2026-09-18 12:08:25.036 IST [21888] LOG:  checkpoint complete: wrote 23 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.503 s, sync=0.360 s, total=2.923 s; sync files=16, longest=0.036 s, average=0.023 s; distance=120 kB, estimate=694 kB; lsn=0/E3AEB08, redo lsn=0/E3AEA78
2026-09-18 12:18:22.052 IST [21888] LOG:  checkpoint starting: time
2026-09-18 12:18:29.491 IST [21888] LOG:  checkpoint complete: wrote 64 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=6.936 s, sync=0.430 s, total=7.439 s; sync files=33, longest=0.034 s, average=0.013 s; distance=399 kB, estimate=665 kB; lsn=0/E437760, redo lsn=0/E4129E0
2026-09-18 12:23:22.504 IST [21888] LOG:  checkpoint starting: time
2026-09-18 12:23:34.126 IST [21888] LOG:  checkpoint complete: wrote 102 buffers (0.6%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=11.054 s, sync=0.497 s, total=11.623 s; sync files=34, longest=0.099 s, average=0.015 s; distance=946 kB, estimate=946 kB; lsn=0/E530E78, redo lsn=0/E4FF550
2026-09-18 12:28:22.128 IST [21888] LOG:  checkpoint starting: time
2026-09-18 12:28:32.204 IST [21888] LOG:  checkpoint complete: wrote 87 buffers (0.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=9.437 s, sync=0.559 s, total=10.076 s; sync files=44, longest=0.043 s, average=0.013 s; distance=684 kB, estimate=920 kB; lsn=0/E5AA5F0, redo lsn=0/E5AA560
2026-09-18 12:31:36.637 IST [2260] ERROR:  column "products" does not exist at character 43
2026-09-18 12:31:36.637 IST [2260] STATEMENT:  SELECT id,name,lead_details,custom_fields,products,product_name,requirement_details FROM crm_leads ORDER BY created_at DESC LIMIT 3;
2026-09-18 12:33:22.210 IST [21888] LOG:  checkpoint starting: time
2026-09-18 12:33:32.615 IST [21888] LOG:  checkpoint complete: wrote 90 buffers (0.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=9.767 s, sync=0.590 s, total=10.405 s; sync files=46, longest=0.088 s, average=0.013 s; distance=590 kB, estimate=887 kB; lsn=0/E669D20, redo lsn=0/E63E088
2026-09-18 12:38:22.619 IST [21888] LOG:  checkpoint starting: time
2026-09-18 12:38:31.566 IST [21888] LOG:  checkpoint complete: wrote 78 buffers (0.5%), wrote 2 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=8.451 s, sync=0.418 s, total=8.948 s; sync files=33, longest=0.040 s, average=0.013 s; distance=593 kB, estimate=858 kB; lsn=0/E6D26C8, redo lsn=0/E6D2638
2026-09-18 13:18:57.338 IST [13540] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35227, 64-bit
2026-09-18 13:18:57.338 IST [13540] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-09-18 13:18:57.768 IST [3940] LOG:  database system was interrupted; last known up at 2026-09-18 12:38:31 IST
